region,mean2019,mean2020
Чернівецька область,132.7566371681416,138.25283018867924
Волинська область,140.06313645621182,141.07079646017698
Київська область,134.97441860465116,135.58823529411765
Донецька область,132.1387614678899,134.54759568204122
Полтавська область,133.967845659164,138.4698972099853
Житомирська область,130.97504159733776,134.5957120980092
Сумська область,135.55009107468123,139.54954954954954
Кіровоградська область,133.8969696969697,138.3684210526316
Харківська область,139.6262471220261,139.25320970042796
Черкаська область,139.6089108910891,137.870820668693
Тернопільська область,135.69688385269123,137.35802469135803
Запорізька область,133.9121706398996,133.52759381898454
Одеська область,129.07576953433306,131.31910112359552
Миколаївська область,132.6120527306968,134.22690437601295
Вінницька область,134.9370709382151,136.85843920145192
Львівська область,139.7006920415225,141.45345104333867
Хмельницька область,135.43610223642173,139.33742331288343
Луганська область,130.22222222222223,134.93290734824282
Дніпропетровська область,135.33218785796106,137.28657921291625
Херсонська область,136.27882599580713,140.74723247232473
Чернігівська область,136.47811993517018,140.07072368421052
Івано-Франківська область,139.35195530726256,139.83391003460207
м.Київ,145.04988344988345,146.4199420769549
Рівненська область,135.51622874806802,140.4389574759945
Закарпатська область,130.20882352941177,133.57142857142858
